C.0x105[4:0]	  	pre_emp_switching_ctrl_1st_post_tap
C.0x105[6]	  	pre_emp_sign_1st_post_tap
C.0x106[3:0]	  	pre_emp_switching_ctrl_2nd_post_tap
C.0x106[5]	  	pre_emp_sign_2nd_post_tap
C.0x107[4:0]	  	pre_emp_switching_ctrl_pre_tap_1t
C.0x107[5]	  	pre_emp_sign_pre_tap_1t
C.0x108[2:0]	  	pre_emp_switching_ctrl_pre_tap_2t
C.0x108[4]	  	pre_emp_sign_pre_tap_2t
C.0x109[4:0]	  	vod_output_swing_ctrl
C.0x109[5]	  	compensation_en
C.0x2E1[0]	  	rx_seriallpbken
C.0x11D[0]	  	loopback_mode / diag_lp_en
C.0x132[5:4]		reverse_serial_loopback
C.0x137[7]		diag_loopback_enable
C.0x13C[7]		reverse_serial_loopback / loopback_mode
C.0x142[4]		loopback_mode
C.0x000[0]	  	arbiter_ctrl_pma
C.0x000[1]	  	cal_done_pma
C.0x100[1]	  	rx_cal_en
C.0x100[5]	  	tx_cal_en
C.0x166[7]	  	rate_sw_flag
C.0x008[6:5]		
C.0x006[2:0]	  	tx_pma_data_sel
C.0x006[3]	  	prbs9_dwidth_tx
C.0x006[6]	  	prbs_clken_tx
C.0x006[7]	  	sqwgen_clken
C.0x008[4]		
C.0x007[7:4]	  	prbs_gen_pat
C.0x008[3:0]	  	sq_wave_num
C.0x110[2:0]	  	ser_mode
C.0x00A[7]	  	prbs_clken_rx
C.0x00B[3:2]	  	rx_prbs_mask
C.0x00C[0]		
C.0x00B[7:4]		prbs_ver
C.0x00C[3]	  	prbs9_dwidth_rx
C.0x13F[3:0]	deser_factor
C.0x007[2]	  	tx_static_polarity_inversion
C.0x00A[4]	  	rx_static_polarity_inversion
C.0x300[0]	  	Counter enable (enables both error and bit counters)
C.0x300[1]	  	Reset
C.0x300[2]	  	Snapshot
C.0x300[3]	  	PRBS Done
C.0x301[7:0]	Accumulated error count[7:0]
C.0x302[7:0]	Accumulated error count[15:8]
C.0x303[7:0]	Accumulated error count[23:16]
C.0x304[7:0]	Accumulated error count[31:24]
C.0x305[7:0]	Accumulated error count[39:32]
C.0x306[7:0]	Accumulated error count[47:40]
C.0x307[1:0]	Accumulated error count[49:48]
C.0x30D[7:0]	Accumulated bit count[7:0]
C.0x30E[7:0]	Accumulated bit count[15:8]
C.0x30F[7:0]	Accumulated bit count[23:16]
C.0x310[7:0]	Accumulated bit count[31:24]
C.0x311[7:0]	Accumulated bit count[39:32]
C.0x312[7:0]	Accumulated bit count[47:40]
C.0x313[1:0]	Accumulated bit count[49:48]
C.0x2E2[0]	  	rx_analogreset
C.0x2E2[1]	  	rx_digitalreset
C.0x2E2[2]	  	tx_analogreset
C.0x2E2[3]	  	tx_digitalreset
C.0x2E2[4]	  	override_rx_analogreset
C.0x2E2[5]	  	override_rx_digitalreset
