0x0000	SPI Configuration A
0x0001	SPI Configuration B
0x0002	Chip configuration (local)	
0x0003	Chip type
0x0004	Chip ID LSB
0x0005	Chip ID MSB
0x0006	Chip grade	
0x0008	Device index	
0x000A	Scratch pad
0x000B	SPI revision
0x000C	Vendor ID LSB
0x000D	Vendor ID MSB
0x000F	Transfer
0x003F	Chip power- down pin (local)
0x0040	Chip Pin Control 1
0x0041	Chip Pin Control 2
0x0042	Chip Pin Control 3
0x0108	Clock divider control
0x0109	Clock divider phase (local)
0x010A	Clock divider and SYSREF control
0x010B	Clock divider SYSREF status
0x0110	Clock delay control
0x0111	Clock super fine delay (local)
0x0112	Clock fine delay (local)
0x0113	Digital clock super fine delay
0x0114	Digital clock fine delay
0x011A	Clock detection control
0x011B	Clock status
0x011C	Clock Duty Cycle Stabilizer 1 (DCS1) control (local)
0x011E	Clock Duty Cycle Stabilizer 2 (DCS2) control
0x0120	SYSREF± Control 1
0x0121	SYSREF± Control 2
0x0122	SYSREF±  Control 3
0x0123	SYSREF Control 4
0x0128	SYSREF Status 1
0x0129	SYSREF Status 2
0x012A	SYSREF Status 3
0x01FF	Chip sync mode
0x0200	Chip mode
0x0201	Chip decimation ratio
0x0245	Fast detect control (local)
0x0247	Fast detect uppper LSB (local)
0x0248	Fast detect upper MSB (local)
0x0249	Fast detect low LSB (local)
0x024A	Fast detect low MSB (local)
0x024B	Fast detect dwell LSB (local)
0x024C	FAST detect dwell MSB (local)
0x026F	SIgnal monitor sync control
0x0270	Signal monitor control (local)
0x0271	Signal Monitor Period 0 (local)
0x0272	Signal Monitor Period 1 (local)
0x0273	Signal Monitor Period 2 (local)
0x0274	Signal monitor status control (local)
0x0275	Signal Monitor Status 0 (local)
0x0276	Signal Monitor Status 1 (local)
0x0277	Signal Monitor Status 2 (local)
0x0278	Signal monitor status frame counter (local)
0x0279	Signal monitor serial framer control (local)
0x027A	SPORT over JESD204B input selection (local)
0x0300	DDC sync control
0x0310	DDC 0 control
0x0311	DDC 0 input select
0x0314	DDC 0 NCO control
0x0315	DDC 0 phase control
0x0316	DDC 0 Phase Increment 0
0x0317	DDC 0 Phase Increment 1
0x0318	DDC 0 Phase Increment 2
0x0319	DDC 0 Phase Increment 3
0x031A	DDC 0 Phase Increment 4
0x031B	DDC 0 Phase Increment 5
0x031D	DDC 0 Phase Offset 0
0x031E	DDC 0 Phase Offset 1
0x031F	DDC 0 Phase Offset 2
0x0320	DDC 0 Phase Offset 3
0x0321	DDC 0 Phase Offset 4
0x0322	DDC 0 Phase Offset 5
0x0327	DDC 0 test enable
0x0330	DDC 1 control
0x0331	DDC 1 input select
0x0334	DDC 1 NCO control
0x0335	DDC 1 phase control
0x0336	DDC 1 Phase Increment 0
0x0337	DDC 1 Phase Increment 1
0x0338	DDC 1 Phase Increment 2
0x0339	DDC 1 Phase Increment 3
0x033A	DDC 1 Phase Increment 4
0x033B	DDC 1 Phase Increment 5
0x033D	DDC 1 Phase Offset 0
0x033E	DDC 1 Phase Offset 1
0x033F	DDC 1 Phase Offset 2
0x0340	DDC 1 Phase Offset 3
0x0341	DDC 1 Phase Offset 4
0x0342	DDC 1 Phase Offset 5
0x0347	DDC 1 test enable	
0x0350	DDC 2 control	
0x0351	DDC 2 input select
0x0354	DDC 2 NCO control
0x0355	DDC 2 phase control
0x0356	DDC 2 Phase Increment 0
0x0357	DDC 2 Phase Increment 1
0x0358	DDC 2 Phase Increment 2
0x0359	DDC 2 Phase Increment 3
0x035A	DDC 2 Phase Increment 4
0x035B	DDC 2 Phase Increment 5
0x035D	DDC 2 Phase Offset 0
0x035E	DDC 2 Phase Offset 1
0x035F	DDC 2 Phase Offset 2
0x0360	DDC 2 Phase Offset 3
0x0361	DDC 2 Phase Offset 4
0x0362	DDC 2 Phase Offset 5
0x0367	DDC 2 test enable
0x0370	DDC 3 control
0x0371	DDC 3 input select
0x0374	DDC 3 NCO control
0x0375	DDC 3 phase control
0x0376	DDC 3 Phase Increment 0
0x0377	DDC 3 Phase Increment 1
0x0378	DDC 3 Phase Increment 2
0x0379	DDC 3 Phase Increment 3
0x037A	DDC 3 Phase Increment 4
0x037B	DDC 3 Phase Increment 5
0x037D	DDC 3 Phase Offset 0
0x037E	DDC 3 Phase Offset 1
0x037F	DDC 3 Phase Offset 2
0x0380	DDC 3 Phase Offset 3
0x0381	DDC 3 Phase Offset 4
0x0382	DDC 3 Phase Offset 5
0x0387	DDC 3 test enable		
0x0390	DDC 0 Phase Increment Fractional A0
0x0391	DDC 0 Phase Increment Fractional A1
0x0392	DDC 0 Phase Increment Fractional A2
